Zona,Tipo de Trabalho,Nº de Vagas
Braga,Senior DevOps Azure,1
Braga,Frontend Engineer (Vue.js),1
Braga,Platform Engineer,1
Braga,IT Helpdesk Specialist,1
Braga,SAP Consultant,1
Braga,Especialista em gestão de projetos de implementação de software,1
Braga,Frontend Developer - Angular,2
Braga,Mulesoft Architect,2
Braga,Mulesoft Developer,2
Braga,Cloud Engineer,1
Braga,Fullstack Developer - .NET & Angular,1
Braga,Backend Developer - Java,1
Braga,iOS Developer,1
Braga,Enterprise SDR (Sales Development Representative) - Spanish,1
Braga,Fullstack Developer - Java & Angular,1
Braga,Backend Developer  - .NET,1
Braga,Quality Assurance Tester,1
Braga,System Administrator Linux,1
Braga,Software Engineer – Salesforce Developer,1
Braga,DevOps Engineer,1
Braga,TypeScript Developer - Backend,1
Braga,IOS Developer,1
Braga,Software Engineer – iOS Mobile Developer,1
Braga,QA Lead,1
Coimbra,Developer .NET,1
Coimbra,Full Stack Developer Java com Angular,1
Coimbra,Senior Fullstack Developer (Node.JS / Angular),1
Coimbra,Intermediate UX/UI Designer,1
Coimbra,Product Manager,1
Coimbra,Senior Back-End Developer,1
Coimbra,Lead Fullstack Developer (Node.JS / Angular),1
Coimbra,Gestor/a de Processos e Dados,1
Coimbra,Test Automation Engineer,1
Coimbra,Senior Test Automation Engineer,1
Coimbra,IT Business Analyst,2
Coimbra,Senior DevOps/Platform Engineer,1
Coimbra,Quality Engineer,1
Coimbra,Senior Project Manager,2
Coimbra,Java Developer,3
Coimbra,Técnico de IT,1
Coimbra,Senior Front-End Developer (i.e. React.js),1
Coimbra,Intermediate Front-End Developer (i.e. React.js),1
Coimbra,​​​​​​​Senior Researcher specialized in Intelligent Systems and Software Engineering,1
Coimbra,Backend Developer & Data Specialist,1
Coimbra,Fullstack Developer (Node.JS / Angular),1
Coimbra,Senior Back-End Developer (Python),1
Coimbra,Outsystems Developer,1
Coimbra,"Intermediate Fullstack Developer (i.e. React.js, Node.js, Python)",1
Coimbra,.NET Developer,1
Coimbra,Drupal Developer,1
Coimbra,Rexx Developer,1
Coimbra,Senior Java Developer,1
Coimbra,Frontend Developer - Angular,1
Coimbra,Mulesoft Architect,1
Coimbra,Mulesoft Developer,1
Coimbra,Data Engineer,1
Coimbra,iOS Developer,1
Coimbra,DevOps Engineer,1
Coimbra,Técnico IT (Suporte),1
Coimbra,Quality Expert,1
Coimbra,Software Engineer – Salesforce Developer,1
Coimbra,Intermediate International Business Developer,1
Coimbra,Backend Software Engineer,1
Coimbra,Intermediate Back-End Developer (i.e. Node.js),1
Coimbra,Senior Back-End Developer (i.e. Node.js),1
Coimbra,IT Application Support Technician,1
Coimbra,IOS Developer,1
Coimbra,Intermediate Project Manager,1
Coimbra,"Senior Fullstack Developer (i.e. React.js, Node.js)",1
Açores,Full Stack Developer Java com Angular,1
Açores,Product Manager,1
Açores,Programador Informático .NET/React,1
Beja,Full Stack Developer Java com Angular,1
Beja,Product Manager,1
Beja,Java Developer,1
Bragança,Full Stack Developer Java com Angular,1
Bragança,.NET Core Middle Developer,1
Bragança,Product Manager,1
Bragança,ReactJS Architect,1
Bragança,Java Developer,1
Bragança,Power Apps Senior Developer,1
Bragança,Umbraco Developer,1
Bragança,React Native Senior Developer,1
Bragança,Senior DevOps AWS,1
Bragança,Senior DevOps Azure,1
Castelo Branco,Full Stack Developer Java com Angular,1
Castelo Branco,IT Helpdesk,1
Castelo Branco,.NET Core Middle Developer,1
Castelo Branco,Product Manager,1
Castelo Branco,ReactJS Architect,1
Castelo Branco,Test Automation Engineer,1
Castelo Branco,Senior Test Automation Engineer,1
Castelo Branco,Senior DevOps/Platform Engineer,1
Castelo Branco,Quality Engineer,1
Castelo Branco,Java Developer,1
Castelo Branco,Administrador de Segurança – F5 e A10,1
Castelo Branco,Power Apps Senior Developer,1
Castelo Branco,Umbraco Developer,1
Castelo Branco,React Native Senior Developer,1
Faro,Full Stack Developer Java com Angular,1
Faro,Senior Fullstack Developer (Node.JS / Angular),1
Faro,Product Manager,1
Faro,Senior Back-End Developer,1
Faro,Lead Fullstack Developer (Node.JS / Angular),1
Faro,Senior Project Manager,1
Faro,Java Developer,1
Faro,Backend Developer & Data Specialist,1
Faro,Fullstack Developer (Node.JS / Angular),1
Faro,Programador .NET,1
Évora,Full Stack Developer Java com Angular,1
Évora,Product Manager,1
Évora,Técnico de IT,1
Évora,Java Developer,1
Guarda,Full Stack Developer Java com Angular,1
Guarda,Product Manager,1
Guarda,Test Automation Engineer,1
Guarda,Senior Test Automation Engineer,1
Guarda,Senior DevOps/Platform Engineer,1
Guarda,Quality Engineer,1
Guarda,Java Developer,1
Portalegre,Full Stack Developer Java com Angular,1
Portalegre,Product Manager,1
Portalegre,Java Developer,1
Leiria,Full Stack Developer Java com Angular,1
Leiria,Senior Fullstack Developer (Node.JS / Angular),1
Leiria,Product Manager,1
Leiria,Senior Back-End Developer,1
Leiria,Backend developer with NodeJS,1
Leiria,Lead Fullstack Developer (Node.JS / Angular),1
Leiria,WordPress Developer,1
Leiria,Java Developer,1
Leiria,QA Automação,1
Leiria,Business Analyst with Salesforce experience,1
Leiria,Backend Developer & Data Specialist,1
Leiria,Fullstack Developer (Node.JS / Angular),1
Leiria,Fullstack developer .NET/REACT,1
Leiria,Fullstack .NET and REACT,1
Leiria,Product Manager with Ecommerce Experience,1
Leiria,iOS developer,1
Leiria,QA Automation Engineer Senior level,1
Leiria,Automation Engineer Senior level,1
Leiria,Engenheiro Informático Sénior,1
Leiria,Backend Software Engineer,1
Leiria,Consultor Funcional PHC,1
Madeira,Full Stack Developer Java com Angular,1
Madeira,Product Manager,1
Viseu,Full Stack Developer Java com Angular,1
Viseu,Product Manager,1
Viseu,Java Developer,1
Viseu,CRM Dynamics Developer,1
Viseu,Web Developer Full Stack,1
Viseu,QA Engineer – Software QA Tester,1
Viseu,Recém-Licenciado / Mestre em Engenharia Informática,1
Viseu,JAVA Developer,1
Viseu,Software Engineer – Java Developer,1
Setúbal,Full Stack Developer Java com Angular,1
Setúbal,Senior Fullstack Developer (Node.JS / Angular),1
Setúbal,Product Manager,1
Setúbal,Senior Back-End Developer,1
Setúbal,Lead Fullstack Developer (Node.JS / Angular),1
Setúbal,Senior Project Manager,1
Setúbal,Java Developer,2
Setúbal,Performance Tech Lead,1
Setúbal,Backend Developer & Data Specialist,1
Setúbal,C#  .Net  / Core Developer,1
Setúbal,Frontend Developer - Angular,1
Setúbal,Quality Assurance Tester,1
Santarém,Full Stack Developer Java com Angular,1
Santarém,Product Manager,1
Santarém,Java Developer,1
Vila Real,Full Stack Developer Java com Angular,1
Vila Real,Product Manager,1
Vila Real,Java Developer,1
Viana do Castelo,Full Stack Developer Java com Angular,1
Viana do Castelo,Product Manager,1
Viana do Castelo,Service Lead,1
Viana do Castelo,Senior DevOps Engineer,1
Viana do Castelo,Senior Cloud Engineer,1
Viana do Castelo,Java Developer,1
Viana do Castelo,Senior Mobile Developer,1
Viana do Castelo,Senior Java Backend Developer,1
Viana do Castelo,Test Automation Engineer,1
Viana do Castelo,Senior Full Stack .NET,1
Viana do Castelo,Senior Infrastructure Engineer,1
Viana do Castelo,Cloud  Architect,1
Viana do Castelo,Microsoft Tech Lead,1
Viana do Castelo,Azure AI Engineer,1
Viana do Castelo,Senior Frontend Developer,1
Viana do Castelo,Mobile Developer,1
Viana do Castelo,Cloud Solutions Architect,1
Viana do Castelo,Frontend Developer,1
Viana do Castelo,Java Backend Developer,1
Viana do Castelo,Power Platform Developer,1
Viana do Castelo,Full Stack Developer,1
Viana do Castelo,Software Engineer,1
Viana do Castelo,Frontend Engineer (Vue.js),1
Viana do Castelo,Platform Engineer,1
Viana do Castelo,Service Desk/Desktop Management,1
Internacional,Full Stack Developer Java com Angular,1
Internacional,HelpDesk,1
Internacional,Full Stack Developer,1
Internacional,Project Manager,1
Internacional,Java Developer,2
Internacional,Security Engineer,1
Internacional,Programador C/C++,1
Internacional,Sénior .Net Developer,1
Internacional,Quality Assurance Tester,1
Internacional,Microsoft 365 Migration Engineer,1
Internacional,Python Dev (Django),1
Internacional,Sénior Java Developer,1
Internacional,BI Developer,1
Internacional,ITSM Implementation Consultant,1
